マンション名,住所,立地1,立地2,立地3,築年数,建物の高さ,階層,賃料料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積,詳細URL
ルミエール町屋,東京都荒川区町屋３,東京メトロ千代田線/町屋駅 歩9分,都電荒川線/町屋二丁目駅 歩11分,都電荒川線/東尾久三丁目駅 歩12分,築14年,3階建,1階,6.4万円,3000円,3.2万円/6.4万円,ワンルーム,19.03m2,https://suumo.jp/chintai/jnc_000055961199/?bc=100221395406
ルミエール町屋,東京都荒川区町屋３,東京メトロ千代田線/町屋駅 歩9分,都電荒川線/町屋二丁目駅 歩11分,都電荒川線/東尾久三丁目駅 歩12分,築14年,3階建,1階,6.4万円,3000円,3.2万円/6.4万円,ワンルーム,19.03m2,https://suumo.jp/chintai/jnc_000055979298/?bc=100219426833
ルナ・エ・ラパン,東京都豊島区長崎２,西武池袋線/椎名町駅 歩7分,西武池袋線/東長崎駅 歩9分,都営大江戸線/落合南長崎駅 歩15分,築8年,2階建,2階,9万円,2000円,9万円/13.5万円,1LDK,39.43m2,https://suumo.jp/chintai/jnc_000062804557/?bc=100221364665
テラスハウス大和町,東京都中野区大和町２,西武新宿線/野方駅 歩9分,ＪＲ中央線/高円寺駅 歩14分,西武新宿線/都立家政駅 歩17分,築2年,3階建,1-3階,11万円,4000円,-/11万円,1LDK,37.53m2,https://suumo.jp/chintai/jnc_000062711261/?bc=100220971281
Precious One,東京都足立区扇１,日暮里・舎人ライナー/扇大橋駅 歩4分,日暮里・舎人ライナー/高野駅 歩8分,日暮里・舎人ライナー/足立小台駅 歩14分,新築,3階建,2階,10.7万円,5500円,-/10.7万円,1LDK,47.19m2,https://suumo.jp/chintai/jnc_000061441102/?bc=100213985548
エミネンスクラマエ,東京都台東区三筋１,都営浅草線/蔵前駅 歩8分,つくばエクスプレス/新御徒町駅 歩9分,東京メトロ銀座線/田原町駅 歩12分,新築,3階建,3階,9.5万円,5000円,9.5万円/9.5万円,1K,26.64m2,https://suumo.jp/chintai/jnc_000062155104/?bc=100220036298
エミネンスクラマエ,東京都台東区三筋１,都営浅草線/蔵前駅 歩8分,つくばエクスプレス/新御徒町駅 歩9分,東京メトロ銀座線/田原町駅 歩12分,新築,3階建,2階,14.2万円,5000円,14.2万円/14.2万円,1LDK,34.22m2,https://suumo.jp/chintai/jnc_000062068979/?bc=100220036294
エミネンスクラマエ,東京都台東区三筋１,都営浅草線/蔵前駅 歩8分,つくばエクスプレス/新御徒町駅 歩9分,東京メトロ銀座線/田原町駅 歩12分,新築,3階建,1階,14.3万円,5000円,14.3万円/14.3万円,1LDK,36.76m2,https://suumo.jp/chintai/jnc_000062047727/?bc=100221476797
エミネンスクラマエ,東京都台東区三筋１,都営浅草線/蔵前駅 歩8分,つくばエクスプレス/新御徒町駅 歩9分,東京メトロ銀座線/田原町駅 歩12分,新築,3階建,2階,14.8万円,5000円,14.8万円/14.8万円,1LDK,38.83m2,https://suumo.jp/chintai/jnc_000062068978/?bc=100221476810
サンルーツ（ハーモニーテラス）,東京都葛飾区西新小岩４,ＪＲ総武線/新小岩駅 歩8分,京成押上線/京成立石駅 歩27分,,築2年,2階建,2階,6.25万円,3500円,-/6.25万円,ワンルーム,13.54m2,https://suumo.jp/chintai/jnc_000061561535/?bc=100168476006
